Samples,Jn Estimate,Jn Error Rate,Kn Estimate,Kn Error Rate
450,0.997578,0.00242196,3.02308,-0.0230839
451,0.997583,0.00241659,3.02303,-0.0230327
452,0.997589,0.00241125,3.02298,-0.0229817
453,0.997594,0.00240592,3.02293,-0.022931
454,0.997599,0.00240062,3.02288,-0.0228805
455,0.997605,0.00239535,3.02283,-0.0228302
456,0.99761,0.0023901,3.02278,-0.0227801
457,0.997615,0.00238487,3.02273,-0.0227303
458,0.99762,0.00237966,3.02268,-0.0226806
459,0.997626,0.00237447,3.02263,-0.0226312
460,0.997631,0.00236931,3.02258,-0.022582
461,0.997636,0.00236417,3.02253,-0.022533
462,0.997641,0.00235906,3.02248,-0.0224843
463,0.997646,0.00235396,3.02244,-0.0224357
464,0.997651,0.00234889,3.02239,-0.0223874
465,0.997656,0.00234384,3.02234,-0.0223392
466,0.997661,0.00233881,3.02229,-0.0222913
467,0.997666,0.0023338,3.02224,-0.0222435
468,0.997671,0.00232881,3.0222,-0.022196
469,0.997676,0.00232385,3.02215,-0.0221487
470,0.997681,0.0023189,3.0221,-0.0221016
471,0.997686,0.00231398,3.02205,-0.0220546
472,0.997691,0.00230908,3.02201,-0.0220079
473,0.997696,0.00230419,3.02196,-0.0219614
474,0.997701,0.00229933,3.02192,-0.021915
475,0.997706,0.00229449,3.02187,-0.0218689
476,0.99771,0.00228967,3.02182,-0.021823
477,0.997715,0.00228487,3.02178,-0.0217772
478,0.99772,0.00228009,3.02173,-0.0217317
479,0.997725,0.00227533,3.02169,-0.0216863
480,0.997729,0.00227059,3.02164,-0.0216411
481,0.997734,0.00226587,3.0216,-0.0215961
482,0.997739,0.00226117,3.02155,-0.0215513
483,0.997744,0.00225649,3.02151,-0.0215067
484,0.997748,0.00225183,3.02146,-0.0214623
485,0.997753,0.00224718,3.02142,-0.021418
486,0.997757,0.00224256,3.02137,-0.0213739
487,0.997762,0.00223795,3.02133,-0.02133
488,0.997767,0.00223337,3.02129,-0.0212863
489,0.997771,0.0022288,3.02124,-0.0212428
490,0.997776,0.00222425,3.0212,-0.0211995
491,0.99778,0.00221972,3.02116,-0.0211563
492,0.997785,0.00221521,3.02111,-0.0211133
493,0.997789,0.00221072,3.02107,-0.0210705
494,0.997794,0.00220624,3.02103,-0.0210278
495,0.997798,0.00220179,3.02099,-0.0209853
496,0.997803,0.00219735,3.02094,-0.020943
497,0.997807,0.00219292,3.0209,-0.0209009
498,0.997811,0.00218852,3.02086,-0.0208589
499,0.997816,0.00218414,3.02082,-0.0208171
500,0.99782,0.00217977,3.02078,-0.0207755
501,0.997825,0.00217542,3.02073,-0.020734
502,0.997829,0.00217108,3.02069,-0.0206927
503,0.997833,0.00216677,3.02065,-0.0206516
504,0.997838,0.00216247,3.02061,-0.0206106
505,0.997842,0.00215819,3.02057,-0.0205698
506,0.997846,0.00215392,3.02053,-0.0205291
507,0.99785,0.00214967,3.02049,-0.0204886
508,0.997855,0.00214544,3.02045,-0.0204483
509,0.997859,0.00214123,3.02041,-0.0204081
510,0.997863,0.00213703,3.02037,-0.0203681
511,0.997867,0.00213284,3.02033,-0.0203282
512,0.997871,0.00212868,3.02029,-0.0202885
513,0.997875,0.00212453,3.02025,-0.020249
514,0.99788,0.0021204,3.02021,-0.0202096
515,0.997884,0.00211628,3.02017,-0.0201704
516,0.997888,0.00211218,3.02013,-0.0201313
517,0.997892,0.00210809,3.02009,-0.0200923
518,0.997896,0.00210402,3.02005,-0.0200535
519,0.9979,0.00209997,3.02001,-0.0200149
520,0.997904,0.00209593,3.01998,-0.0199764
521,0.997908,0.00209191,3.01994,-0.0199381
522,0.997912,0.0020879,3.0199,-0.0198999
523,0.997916,0.00208391,3.01986,-0.0198618
524,0.99792,0.00207993,3.01982,-0.0198239
525,0.997924,0.00207597,3.01979,-0.0197862
526,0.997928,0.00207202,3.01975,-0.0197485
527,0.997932,0.00206809,3.01971,-0.0197111
528,0.997936,0.00206417,3.01967,-0.0196737
529,0.99794,0.00206027,3.01964,-0.0196365
530,0.997944,0.00205638,3.0196,-0.0195995
531,0.997947,0.00205251,3.01956,-0.0195626
532,0.997951,0.00204865,3.01953,-0.0195258
533,0.997955,0.00204481,3.01949,-0.0194892
534,0.997959,0.00204098,3.01945,-0.0194527
535,0.997963,0.00203717,3.01942,-0.0194163
536,0.997967,0.00203337,3.01938,-0.0193801
537,0.99797,0.00202958,3.01934,-0.019344
538,0.997974,0.00202581,3.01931,-0.0193081
539,0.997978,0.00202205,3.01927,-0.0192722
540,0.997982,0.0020183,3.01924,-0.0192365
541,0.997985,0.00201457,3.0192,-0.019201
542,0.997989,0.00201086,3.01917,-0.0191656
543,0.997993,0.00200715,3.01913,-0.0191303
544,0.997997,0.00200346,3.0191,-0.0190951
545,0.998,0.00199979,3.01906,-0.0190601
546,0.998004,0.00199612,3.01903,-0.0190252
547,0.998008,0.00199247,3.01899,-0.0189904
548,0.998011,0.00198884,3.01896,-0.0189557
549,0.998015,0.00198522,3.01892,-0.0189212
550,0.998018,0.00198161,3.01889,-0.0188868
551,0.998022,0.00197801,3.01885,-0.0188525
552,0.998026,0.00197443,3.01882,-0.0188184
553,0.998029,0.00197086,3.01878,-0.0187843
554,0.998033,0.0019673,3.01875,-0.0187504
555,0.998036,0.00196375,3.01872,-0.0187166
556,0.99804,0.00196022,3.01868,-0.018683
557,0.998043,0.0019567,3.01865,-0.0186494
558,0.998047,0.0019532,3.01862,-0.018616
559,0.99805,0.0019497,3.01858,-0.0185827
560,0.998054,0.00194622,3.01855,-0.0185495
561,0.998057,0.00194275,3.01852,-0.0185165
562,0.998061,0.00193929,3.01848,-0.0184835
563,0.998064,0.00193585,3.01845,-0.0184507
564,0.998068,0.00193242,3.01842,-0.018418
565,0.998071,0.001929,3.01839,-0.0183854
566,0.998074,0.00192559,3.01835,-0.0183529
567,0.998078,0.00192219,3.01832,-0.0183205
568,0.998081,0.00191881,3.01829,-0.0182883
569,0.998085,0.00191544,3.01826,-0.0182561
570,0.998088,0.00191208,3.01822,-0.0182241
571,0.998091,0.00190873,3.01819,-0.0181922
572,0.998095,0.00190539,3.01816,-0.0181604
573,0.998098,0.00190207,3.01813,-0.0181287
574,0.998101,0.00189875,3.0181,-0.0180971
575,0.998105,0.00189545,3.01807,-0.0180656
576,0.998108,0.00189216,3.01803,-0.0180343
577,0.998111,0.00188888,3.018,-0.018003
578,0.998114,0.00188561,3.01797,-0.0179719
579,0.998118,0.00188236,3.01794,-0.0179408
